Código,Nome do Exercício,grupo_muscular,musculo_foco,url
265,Bicicleta Ergométrica,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/265
266,Jump,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/266
267,Pular Corda,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/267
268,Abdominal Bicicleta,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/268
269,Super Homem,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/269
270,Rosca Simultânea no Cross,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/270
271,Banco Extensor Unilateral,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/271
272,Rosca Direta Inversa,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/272
273,Corrida no Mesmo Lugar,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/273
274,Mãos Entrelaçadas Para Trás,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/274
275,Mãos nos Pés,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/275
276,Alongamento de Quadríceps,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/276
277,Tração Vertebral,Costas,Dorsais,https://rcstorestaff.com.br/exercicios_html/277
278,Ombro Lateral Esticado,Ombro,Deltoide Lateral,https://rcstorestaff.com.br/exercicios_html/278
279,Lateral Aberta,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/279
280,Alongamento para Lombar,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/280
281,Bíceps Femoral,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/281
282,Rosca Scott Unilateral,Bíceps,Bíceps,https://rcstorestaff.com.br/exercicios_html/282
283,Tríceps Francês Barra Livre,Tríceps,Tríceps,https://rcstorestaff.com.br/exercicios_html/283
284,Afundo com Halteres,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/284
285,V-Sit,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/285
286,Squats,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/286
287,Encolhimento de Ombros por Trás com Barra,Ombro,Deltoide,https://rcstorestaff.com.br/exercicios_html/287
288,Flexão Solo com Apoio,Peito,Peitoral Médio,https://rcstorestaff.com.br/exercicios_html/288
289,Split Jerk,Corpo,Corpo Inteiro,https://rcstorestaff.com.br/exercicios_html/289
290,Pistol Squat,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/290
291,Box Jump,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/291
292,Avanço,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/292
293,Agachamento Sumô Halteres e Step,Perna,Quadríceps,https://rcstorestaff.com.br/exercicios_html/293
294,Abdominal Butterfly,Abdome,Reto Abdominal,https://rcstorestaff.com.br/exercicios_html/294
295,Box Jump Over,Perna,Membros Inferiores,https://rcstorestaff.com.br/exercicios_html/295
296,Alongamento Dorsal no Espaldar,Alongamento,Alongamento Geral,https://rcstorestaff.com.br/exercicios_html/296
